booking_number,name,closest_name
093300387513,"YAMAHA MUSIC LATIN AMERICA, S.A.",Fr. Meyer's Sohn North America LLC
142400577669,"SIAM MUSIC YAMAHA CO., LTD",Yamaha Motor Co. LTD
080400075490,YAMAHA CORPORATION,Yamaha Corporation
080300600649,YAMAHA MUSIC ELECTRONICS CHINA,UBILogistics (China) Limited
093300383712,YAMAHA MUSIC VIETNAM COMPANY LIMITE,The Proctor & Gamble Company
081300248412,YAMAHA MUSICAL DO BRASIL LTDA.,What Do You Meme
081400056094,YAMAHA MUSICAL DO BRASIL LTDA.,What Do You Meme
130400008245,HADDAD APPAREL GROUP LTD,Lollytogs LTD DBA LT Apparel Group
146400133054,SUNSET WEST,North West Grains
080400039558,YAMAHA CORPORATION JAPAN,Yamaha Corporation
149307716635,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
080400014423,YAMAHA CANADA MUSIC LTD. VANCOUVER,Yamaha Motor Co. LTD
130400006439,HADDAD APPAREL GROUP LTD,Lollytogs LTD DBA LT Apparel Group
080400094974,YAMAHA CORPORATION,Yamaha Corporation
080400037491,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
091400110380,YAMAHA CORPORATION,Yamaha Corporation
080400054654,XIAOSHAN YAMAHA MUSICAL,Yamaha Corporation
142354183306,"HADDAD APPAREL GROUP, LTD131 DOCKS",Lollytogs LTD DBA LT Apparel Group
237400096342,YAMAHA CORPORATION,Yamaha Corporation
093400046025,"YAMAHA MUSIC LATIN AMERICA, S.A.",Fr. Meyer's Sohn North America LLC
080300587171,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation
237400134058,YAMAHA MUSIC MANUFACTURING JAPAN CO,Yamaha Motor Co. LTD
010400087012,YAMAHA CORPORATION,Yamaha Corporation
081300261452,YAMAHA MUSICAL DO BRASIL LTDA.,What Do You Meme
235400068636,HOOKER FURNITURE,Furniture Values International LLC
080400024542,YAMAHA MUSIC & ELECTRONICS TAIWAN C,Yamaha Corporation
149308577248,YAMAHA MUSIC INDIA PRIVATE LIMITED,Super Auto Forge Private Limited
141400013015,"SIAM MUSIC YAMAHA CO., LTD",Yamaha Motor Co. LTD
080300528590,XIAOSHAN YAMAHA MUSICAL,Yamaha Corporation
080300508106,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
149307618871,YAMAHA CORPORATION,Yamaha Corporation
081400027540,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
143458850056,YAMAHA MUSIC GULF FZE,Yamaha Corporation
130400004185,HADDAD APPAREL GROUP LTD,Lollytogs LTD DBA LT Apparel Group
080400065320,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation
142400313972,"SIAM MUSIC YAMAHA CO., LTD.",Yamaha Motor Co. LTD
093400046025,"YAMAHA MUSIC LATIN AMERICA, S.A.",Fr. Meyer's Sohn North America LLC
081300269215,YAMAHA CORPORATION,Yamaha Corporation
080300504798,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation
080400090979,XIAOSHAN YAMAHA MUSICAL,Yamaha Corporation
081400002032,YAMAHA DE MEXICO,Truper S.A. DE C.V.
235301429487,HOOKER FURNITURE,Furniture Values International LLC
