booking_number,name_x,mapped_name,id,name_y
091330558191,"TOM LEE MUSIC CO.,LTD","ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD.",bc64c1dc-56d1-44e5-a460-2dd47ab7f867,"ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD."
081400006012,XIAOSHAN YAMAHA MUSICAL INSTRUMENTC,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
149307377130,HOOKER FURNITURE CORPORATION,AISIN CORPORATION,6d375986-0a2e-494f-95fc-111062e45cf4,AISIN CORPORATION
143451567308,TO ORDER,Super Auto Forge Private Limited,018bc528-ac80-442d-a410-5c4a9d713f25,Super Auto Forge Private Limited
080300532562,YAMAHA CORPORATION JAPAN,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080400091029,XIAOSHAN YAMAHA MUSICAL,UPS,683960fd-8752-4261-9d4f-9bb36e1e5dee,UPS
101400011722,YAMAHA MUSICAL DO BRASIL LTDA,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
143451581769,"SIAM MUSIC YAMAHA CO., LTD","ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD.",bc64c1dc-56d1-44e5-a460-2dd47ab7f867,"ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD."
093400045992,YAMAHA MUSICAL DO BRASIL LTDA.,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080400088044,TOM LEE,Gozdno gospodarstvo Bled d.o.o.,09f3d38c-5602-48fb-a609-393335725c0b,Gozdno gospodarstvo Bled d.o.o.
080400054590,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
081400028775,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080300539117,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080400062983,YAMAHA DE MEXICO S.A. DE C.V.,Sea Cargo s.r.o,3e1c9c3a-e9f6-4a6e-ade1-f0bcf332aa6d,Sea Cargo s.r.o
130400004304,HADDAD APPAREL GROUP LTD,Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
147301144102,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
081400056281,YAMAHA CORPORATION JAPAN,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
149308390432,PT.YAMAHA ELECTRONICS MANUFACTURING,CIE Manufacturing,307cc7e2-da74-4a5f-a3c7-c2a0d51b484c,CIE Manufacturing
080300522044,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
080400037474,SIAM MUSIC YAMAHA CO. LTD,"ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD.",bc64c1dc-56d1-44e5-a460-2dd47ab7f867,"ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD."
130400008245,HADDAD APPAREL GROUP LTD,Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
080300587146,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
010400116837,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
010301281309,YAMAHA ELECTRONICS MANUFACTURING(M),CIE Manufacturing,307cc7e2-da74-4a5f-a3c7-c2a0d51b484c,CIE Manufacturing
010400091249,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
235301394781,HOOKER FURNITURE,Furniture Values International LLC,66adf0c6-8fff-4236-9c2e-9044d60888f3,Furniture Values International LLC
080400065282,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
143451567782,"YAMAHA MUSIC AUSTRALIA PTY., LTD.","SHANGHAI SYNTRANS INTERNATIONAL LOGISTICS CO., LTD.",382c244b-d47d-4420-9af0-10a9f2abb500,"SHANGHAI SYNTRANS INTERNATIONAL LOGISTICS CO., LTD."
080400020806,"TOM LEE MUSIC CO., LTD.","ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD.",bc64c1dc-56d1-44e5-a460-2dd47ab7f867,"ANHUI TECHNOLOGY IMPORT AND EXPORT CO,.LTD."
093300383712,YAMAHA MUSIC VIETNAM COMPANY LIMITE,Genuine Parts Company,ae6fab72-ddb9-42a1-bf8b-982feccc8a0c,Genuine Parts Company
080400024780,YAMAHA CORPORATION,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
238400050286,"HADDAD APPAREL GROUP, LTD",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
080400016442,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation,7f45a6f7-803d-4f33-801b-62df214165bf,Yamaha Corporation
149307366260,PT.YAMAHA ELECTRONICS MANUFACTURING,CIE Manufacturing,307cc7e2-da74-4a5f-a3c7-c2a0d51b484c,CIE Manufacturing
081300241647,YAMAHA DE MEXICO S.A DE C.V,Sea Cargo s.r.o,3e1c9c3a-e9f6-4a6e-ade1-f0bcf332aa6d,Sea Cargo s.r.o
142453215699,"HADDAD APPAREL GROUP, LTD131 DOCKS",Dunelm Group,20db8080-f3d8-44e8-a769-bf55b0f49cf5,Dunelm Group
145499001980,SUNSET WEST,North West Grains,7f9e315b-0bbf-4e4b-aed2-80c199211d7b,North West Grains
